name,value
Area,b'1.3894999999995523'
Base Offset,b'-0.0'
Category,b'Revit Rooms'
CategoryId,b'-2000160'
CCSDesignedUseClassCode,b'EBB'
CCSDesignedUseName,b'Skakt'
CCSTypeDescription,b'Skakt EL'
CCSTypeID,b'[A]%EBB1'
CCSTypeName,b'TR.011'
Circumference,b'-0.0'
Computation Height,b'-0.0'
Design Option,b'Main Model'
ElementId,b'14436959'
Factor,b'0'
Fixed Reduction Global,b'-0.0'
IfcGUID,b'27sFQOJ9PEyg4iR$$BAu0t'
Level,b'4'
Level,b'WF_Plan 1 (01)_Warnings_Fix'
Limit Offset,b'4000'
Living Area,b'-0.0'
name,b'Skakt EL DP05.1746 [14436959]'
Name,b'Skakt EL'
Net Area,b'-0.0'
Number,b'DP05.1746'
OHPT_Blackout,b'Nej'
OHPT_CanOpenAndClose,b'Nej'
OHPT_CladdingWidth,b'-0.0'
OHPT_CounterwallWidth,b'-0.0'
OHPT_DaylightControl,b'Nej'
OHPT_dRofusSyncDate,b'15/10/2021 18:53:37'
OHPT_floorDrain-slope_TE,b'not sloped floor - no floor drainage - no item placed'
OHPT_Frum,b'-0.0'
OHPT_HazardClassFire,b'OH1'
OHPT_Issues,b'-0.0'
OHPT_OptimizedCeilingHeight,b'-0.0'
OHPT_RA_Ceiling Height,b'-0.0'
OHPT_RA_Check,b'-0.0'
OHPT_RA_Name EN,b'EL shaft'
OHPT_RA_No Window,b'-0.0'
OHPT_RelevantArea,b'-0.0'
OHPT_RoomsIDVoid,b'-0.0'
OHPT_ScreeningForInsight,b'Nej'
OHPT_ShadingQuantity_TE,b'-0.0'
OHPT_Shaft,b'-0.0'
OHPT_WIP,b'-0.0'
OUH Behandlingshoejde,b'-0.0'
OUH_AutomaticDoorOpener,b'Nej'
OUH_CeilingHeight,"b'0,00'"
OUH_ControlledAccess,b'Nej'
OUH_DaylightRequirements,b'Nej'
OUH_DocsOnDrofus,b'False'
OUH_FaradayCage,b'Nej'
OUH_FloorScreedToFall,b'Nej'
OUH_InterlockedDoor,b'Nej'
OUH_InternalWindow,b'Nej'
OUH_LeaveDoorOpen,b'Nej'
OUH_LockableDoor,b'Nej'
OUH_PermanentWorkplace,b'Nej'
OUH_ProgrammedArea,"b'0,00'"
OUH_SpecialCleaning,b'Nej'
OUH_SpecialDoorWidth,b'Nej'
OUH_WallFinish_Code,b'-'
OUH_Ward,b'TM'
OUH_WindowOnDoor,b'Nej'
parent,b'18619'
Perimeter,b'5082.422399999126'
Phase,b'New Construction'
Proportional Reduction,b'-0.0'
RLX_RlxInstId,b'0'
RoomID,b'75745'
TagName,b'SK. EL'
Unbounded Height,b'4000'
Unfinished Area,b'-0.0'
Upper Limit,b'WF_Plan 1 (01)_Warnings_Fix'
viewable_in,b'c884ae1b-61e7-4f9d-0001-719e20b22d0b-00fc96ae'
Volume,b'5.557999999999367'
Wall Finish,b'-'
WBS_L.2-Site,b'DP05'
WBS_L.3-Building,b'B38'
Workset,b'Workset1'
